epoch,step,train_loss_epoch,train_loss_step
0,0,1562247.791804935,
1,1,1562209.04571064,
2,2,1562202.7191949517,
3,3,1562199.0920297885,
4,4,1562196.3070940266,
5,5,1562193.801088054,
6,6,1562191.4054968187,
7,7,1562188.9823581085,
8,8,1562186.4475962082,
9,9,1562183.7407062876,
10,10,1562180.8135079262,
11,11,1562177.622430136,
12,12,1562174.1255466745,
13,13,1562170.2827652975,
14,14,1562166.0549818869,
15,15,1562161.4044113935,
16,16,1562156.297166899,
17,17,1562150.7172153643,
18,18,1562144.625467905,
19,19,1562137.9552897837,
20,20,1562130.635454813,
21,21,1562122.6165250319,
22,22,1562113.846972918,
23,23,1562104.2727985885,
24,24,1562093.8381137692,
25,25,1562082.4836569235,
26,26,1562070.145788427,
27,27,1562056.7587635398,
28,28,1562042.2693807033,
29,29,1562026.6829375867,
30,30,1562010.1154321355,
31,31,1561992.3269634445,
32,32,1561973.1490868498,
33,33,1561952.4741670473,
34,34,1561930.1986662976,
35,35,1561906.2129472233,
36,36,1561880.3995848573,
37,37,1561852.6323268511,
38,38,1561822.7779817467,
39,39,1561790.6965314508,
40,40,1561756.2401612191,
41,41,1561719.2504259588,
42,42,1561679.560703276,
43,43,1561636.9933106308,
44,44,1561591.356540322,
45,45,1561542.4430257538,
46,46,1561490.0358354317,
47,47,1561433.9104973562,
48,48,1561373.8428932985,
49,49,,1561309.6030113806
49,49,1561309.6030113806,
50,50,1561240.9505947977,
51,51,1561167.6348379676,
52,52,1561089.3962023235,
53,53,1561005.966196614,
54,54,1560917.0676718198,
55,55,1560822.4152661655,
56,56,1560721.7119377167,
57,57,1560614.6491262352,
58,58,1560500.9091702881,
59,59,1560380.1616272517,
60,60,1560252.0635541417,
61,61,1560116.2572229374,
62,62,1559972.3725954636,
63,63,1559820.0203049977,
64,64,1559658.7883916134,
65,65,1559488.2457754854,
66,66,1559307.940508479,
67,67,1559117.4063110908,
68,68,1558916.1605758772,
69,69,1558703.7043345224,
70,70,1558479.5230009225,
71,71,1558243.096299497,
72,72,1557993.8815921226,
73,73,1557731.3193837407,
74,74,1557454.8252125732,
75,75,1557163.7981385412,
76,76,1556857.6096556524,
77,77,1556535.6036798041,
78,78,1556197.092809616,
79,79,1555841.331841464,
80,80,1555467.490407291,
81,81,1555074.5342229747,
82,82,1554660.7395751313,
83,83,1554223.1086365588,
84,84,1553761.3799017176,
85,85,1553275.922987829,
86,86,1552766.160397348,
87,87,1552231.3323324309,
88,88,1551670.6107745534,
89,89,1551083.118178501,
90,90,1550467.9523529543,
91,91,1549824.1770643569,
92,92,1549150.8292119217,
93,93,1548446.9223943641,
94,94,1547711.4459043173,
95,95,1546943.3803136495,
96,96,1546141.6493204653,
97,97,1545305.1894583947,
98,98,1544432.9458043065,
99,99,,1543523.8351562333
99,99,1543523.8351562333,
